p_id,accuracy,avg_reac_time,manual_label,accuracy_zscore,reac_time_zscore,accuracy_normalized,avg_reac_time_normalized,performance_ratio,accuracy_entropy,accuracy_scaled,avg_reac_time_scaled
p01,97.9,188,1,0.6654440448185993,-0.5256968492597521,0.854166666666667,0.17613636363636365,0.5207446808510638,0.1957815756465102,0.6654440448185993,-0.5256968492597521
p02,89.8,365,0,-1.255017984764758,0.6136706077073022,0.29166666666666696,0.5113636363636364,0.24602739726027398,0.08971329772928421,-1.255017984764758,0.6136706077073022
p03,98.9,205,0,0.9025381225449395,-0.41626607655670167,0.9236111111111116,0.20833333333333331,0.48243902439024394,0.20643257794452016,0.9025381225449395,-0.41626607655670167
p04,98.1,174,1,0.7128628603638647,-0.6158163091328525,0.8680555555555554,0.1496212121212121,0.5637931034482758,0.19794369483046317,0.7128628603638647,-0.6158163091328525
p05,97.8,134,1,0.6417346370459633,-0.8733004801988534,0.8472222222222223,0.07386363636363635,0.7298507462686566,0.19469435498045956,0.6417346370459633,-0.8733004801988534
p06,99.5,95,1,1.0447945691807423,-1.1243475469882043,0.9652777777777777,0.0,1.0473684210526315,0.212638390935703,1.0447945691807423,-1.1243475469882043
p07,95.2,218,0,0.025290034957480237,-0.33258372096025135,0.666666666666667,0.23295454545454547,0.43669724770642204,0.16485744694264878,0.025290034957480237,-0.33258372096025135
p08,93.0,159,0,-0.4963169360404688,-0.7123728732826028,0.5138888888888893,0.12121212121212122,0.5849056603773585,0.13683452402531313,-0.4963169360404688,-0.7123728732826028
p09,100.0,125,1,1.1633416080439123,-0.9312344186887036,1.0,0.05681818181818182,0.8,0.21770941483166742,1.1633416080439123,-0.9312344186887036
p10,96.9,280,0,0.4283499670922592,0.06651674419205013,0.7847222222222223,0.35037878787878785,0.3460714285714286,0.18471827757563458,0.4283499670922592,0.06651674419205013
p11,96.6,623,0,0.35722174377435445,2.2744435110830086,0.7638888888888884,1.0,0.15505617977528088,0.1813135914704043,0.35722174377435445,2.2744435110830086
p12,100.0,201,0,1.1633416080439123,-0.4420144936633018,1.0,0.20075757575757575,0.4975124378109453,0.21770941483166742,1.1633416080439123,-0.4420144936633018
p13,97.1,175,1,0.47576878263752453,-0.6093792048562024,0.7986111111111107,0.1515151515151515,0.5548571428571428,0.1869655857765635,0.47576878263752453,-0.6093792048562024
p14,99.3,121,1,0.9973757536354736,-0.9569828357953037,0.9513888888888884,0.049242424242424254,0.8206611570247934,0.21058465037427126,0.9973757536354736,-0.9569828357953037
p15,97.5,150,1,0.570606413728062,-0.770306811772453,0.8263888888888893,0.10416666666666669,0.65,0.1914076418681449,0.570606413728062,-0.770306811772453
p16,97.5,152,1,0.570606413728062,-0.757432603219153,0.8263888888888893,0.10795454545454547,0.6414473684210527,0.1914076418681449,0.570606413728062,-0.757432603219153
p17,98.2,160,1,0.7365722681365008,-0.7059357690059528,0.875,0.12310606060606061,0.61375,0.19901865924504814,0.7365722681365008,-0.7059357690059528
p18,91.2,540,0,-0.9230862759478804,1.7401638561210564,0.3888888888888893,0.8428030303030303,0.1688888888888889,0.11145688064888103,-0.9230862759478804,1.7401638561210564
p19,94.8,245,0,-0.06954759613305718,-0.15878190549070073,0.6388888888888884,0.2840909090909091,0.38693877551020406,0.1599718312081403,-0.06954759613305718,-0.15878190549070073
p20,90.4,390,0,-1.112761538128952,0.7745982146235528,0.3333333333333339,0.5587121212121212,0.23179487179487182,0.09928265598345942,-1.112761538128952,0.7745982146235528
p21,99.1,110,1,0.9499569380902049,-1.027790982838454,0.9375,0.02840909090909091,0.9009090909090909,0.20851611908979,0.9499569380902049,-1.027790982838454
p22,87.3,470,0,-1.8477531790806083,1.2895665567555548,0.11805555555555536,0.7102272727272727,0.18574468085106383,0.04410133413423219,-1.8477531790806083,1.2895665567555548
p23,85.6,515,0,-2.2508131112153875,1.5792362492048058,0.0,0.7954545454545455,0.1662135922330097,0.0,-2.2508131112153875,1.5792362492048058
p24,95.5,230,0,0.09641825827538161,-0.2553384696404511,0.6875,0.2556818181818182,0.4152173913043478,0.16846604770607881,0.09641825827538161,-0.2553384696404511
p25,92.6,365,0,-0.5911545671310062,0.6136706077073022,0.4861111111111107,0.5113636363636364,0.2536986301369863,0.13140854233518975,-0.5911545671310062,0.6136706077073022
p26,98.0,145,1,0.6891534525912321,-0.8024923331557031,0.8611111111111116,0.09469696969696972,0.6758620689655173,0.19686467785849068,0.6891534525912321,-0.8024923331557031
p27,89.0,480,0,-1.4446932469458293,1.353937599522055,0.2361111111111116,0.7291666666666667,0.18541666666666667,0.07626446616554311,-1.4446932469458293,1.353937599522055
p28,86.5,600,0,-2.03742844126168,2.126390112720058,0.0625,0.956439393939394,0.14416666666666667,0.0262472877299288,-2.03742844126168,2.126390112720058
p29,97.6,155,1,0.5943158215006946,-0.7381212903892029,0.833333333333333,0.11363636363636365,0.6296774193548387,0.19250742269384336,0.5943158215006946,-0.7381212903892029
p30,91.9,320,0,-0.7571204215394416,0.3240009152580511,0.4375000000000009,0.42613636363636365,0.28718750000000004,0.12163011606724342,-0.7571204215394416,0.3240009152580511
